x1,x2,y
5.396756795883103,1.1714165622203032,1.0
0.48527911655836253,1.2827824443686175,2.0
0.396841622138715,7.614668323036858,2.0
6.278731492689127,7.015494539370217,2.0
6.907650871841796,6.713302257234332,1.0
5.350242857988027,8.416744935815931,2.0
9.738530054146974,9.70584885651608,1.0
9.616924612108924,7.139956998573877,1.0
0.05671505968359636,5.551073367686563,2.0
5.4023475255815745,8.383375635771715,2.0
3.566687031932634,1.8206958707508447,1.0
0.3278433449718887,7.455066323334787,2.0
4.456081816178291,4.357606330144204,1.0
2.861502056611993,7.333278984738133,2.0
0.0784705582081735,8.739272605718238,2.0
5.003477330116073,4.0160814261655045,1.0
4.551933170419732,8.954496341680509,2.0
6.6081047883211355,2.5830453748053825,1.0
9.183900871965267,1.4827187489858806,1.0
5.3115655850890775,3.689038644080942,1.0
5.220658714729667,3.387483856014156,1.0
6.706244787664499,6.166360692140208,1.0
6.377694731877569,3.2909365600452825,1.0
4.350752577388849,4.806501923067316,2.0
4.077286129742227,7.1462187940700534,2.0
7.206147960272129,3.044466900212335,1.0
5.479682616613126,0.8570352127660208,1.0
3.171266939795798,2.139482254962771,1.0
9.341561897936762,8.679614295686386,1.0
7.37865277107289,1.8550880693964578,1.0
6.125565744413541,9.408525672618362,2.0
8.252945243255578,1.46365741382387,1.0
2.6898513704141127,7.029503845008852,2.0
5.770183721751189,8.600652185053013,2.0
7.4543394034917085,8.677464947178708,2.0
6.943021454606528,7.483755283782547,2.0
2.395678107010193,9.240709523310507,2.0
1.3416537094965952,0.05390996349323607,1.0
0.7618328813637065,3.4496039133246015,2.0
3.2853192497277304,6.515796808945749,2.0
7.233156394752184,9.239603824215228,2.0
0.7133467150590755,3.789520462870711,2.0
0.21489859875009065,9.640388864862812,2.0
1.4773451692629769,6.55883175057161,2.0
0.5739192565382956,4.162176437773035,2.0
1.280296386533415,6.007955679152554,2.0
7.351256782009124,9.593204598378914,2.0
2.7204874932622767,2.984421017317244,2.0
2.4046719149845632,8.467013968333166,2.0
3.736568798017105,6.397221410103264,2.0
6.3476064086743875,2.9846543315584784,1.0
3.8583475042054163,3.287503522261317,1.0
0.6203046684868496,1.358668834767215,2.0
0.5205064061034592,7.4582331578723196,2.0
2.0176660045487615,1.4884136057807529,1.0
9.62589198769526,7.56822531006838,1.0
3.6634205805849285,0.6397435467688506,1.0
7.836311751306527,6.953146322221425,1.0
5.356364811370378,3.699505417651082,1.0
8.568379952378766,2.934253723682624,1.0
2.3166549020945304,4.05893716297358,2.0
1.0223384097477017,9.613267963616758,2.0
8.459370148033091,0.5525480953164619,1.0
8.542484043386555,3.865660588425326,1.0
8.878479842544172,7.542880629110855,1.0
0.16045043581325302,2.3162160906575604,2.0
7.71176710043189,2.811724613556814,1.0
4.115552465732096,4.049235272794088,1.0
2.506001758116315,9.983157647217238,2.0
3.509007887965004,7.542021188593138,2.0
6.811335375795718,5.949346782169817,1.0
1.2788662411523122,9.101554267294269,2.0
3.4678518982590645,4.738044495691188,2.0
9.937005291882015,6.3508322633731495,1.0
5.930330033457829,7.921021982860754,2.0
4.285207866456342,5.621446890300792,2.0
4.591969940487509,3.1849958015191904,1.0
6.660581565402226,9.133631902307467,2.0
9.704911682358713,3.625081928613676,1.0
4.081434079225566,8.80998521156475,2.0
7.050550267063854,7.010849054310324,1.0
5.3607456677401295,9.228446950536123,2.0
6.305111813076076,0.805698548343734,1.0
1.6278430478882921,3.3787450221051607,2.0
8.274375573024267,9.739868141448621,2.0
7.420217667454012,9.144530327943695,2.0
1.4266767082124454,1.4752686832560102,2.0
5.376716091146777,7.636643705401377,2.0
8.472180287559222,7.290370898214026,1.0
3.4708137838985476,4.155702176619805,2.0
2.8445050314168308,6.039350864599483,2.0
8.61474885060725,8.711227656639464,2.0
8.922550938685538,6.21521338792714,1.0
6.963031292409374,6.537100834199432,1.0
1.1663731865562876,2.3032279898514973,2.0
3.576197438706016,8.975805685254748,2.0
5.952124304356406,0.033177582492280866,1.0
5.508235506958869,7.490845659233104,2.0
7.055270338283743,7.778356306543096,2.0
5.631608625127548,8.579291460619409,2.0
